system:index,B1,B2,B3,B4,B5,B6,B7,ClassID,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_2_15_10,0.13079205,0.119706914,0.12268378,0.22753389,0.2601497,299.40073,0.16754825,5,0.26674092155314044,-8.241624,0.10416666666666669,488197.33333333326,-0.09760591252969397,491.00000000000006,2.2821740957339185,3.6986402777691604E-4,-15950.708333333332,212034.1779513955,-0.06687901,0.2165113,0.29938555,0.2893262860879428,0.03403704475086211,
1_1_1_2_15_11,0.13380681,0.11954576,0.12834047,0.23350959,0.2489366,299.6122,0.16720393,5,0.2629224468970813,-8.003443,0.10416666666666669,1080093.4583333333,7.663845053555579E-4,834.2916666666667,2.2821740957339185,2.0325841734865622E-5,-15340.083333333332,548820.5138888974,-0.03197664,0.1964064,0.29064283,0.25681868029965405,0.03403704475086211,
1_1_1_2_15_12,0.1367682,0.11709237,0.121852614,0.21958308,0.24522029,299.8237,0.17329311,5,0.2641543233245159,-7.9592857,0.10416666666666669,589343.0208333334,-0.0694065702393369,665.4791666666666,2.2821740957339185,2.8762053233186658E-5,-16276.770833333334,282702.40581597574,-0.055157106,0.1718635,0.28623387,0.2676564133286067,0.03403704475086211,
1_1_1_2_15_13,0.1315405,0.11624411,0.12295494,0.22218245,0.24061407,299.6122,0.16015115,5,0.254858642638038,-8.002592,0.10416666666666669,363777.7083333333,-0.22774892978075428,478.0833333333333,2.2821740957339185,7.490021648198069E-5,-16311.666666666668,144733.02430556156,-0.039826613,0.20077321,0.28750148,0.25886850912862025,0.03403704475086211,
1_1_1_2_15_14,0.13181122,0.11677875,0.11168604,0.21926527,0.17831,299.40073,0.14555623,5,0.2985666457636805,-8.088627,0.10416666666666669,232464.9583333333,-0.10688781240522818,396.5416666666667,2.2821740957339185,6.010220014426692E-5,-16476.791666666664,102294.72829860821,0.10301259,0.10113367,0.32506058,0.1754827859268511,0.03403704475086211,
1_1_1_2_15_15,0.13054039,0.11948387,0.12012912,0.2203289,0.20589837,299.40073,0.1528869,5,0.26038068832376315,-8.698878,0.10416666666666669,1406072.4583333335,-0.12852290969863406,897.3333333333334,2.2821740957339185,4.958074002524289E-5,-15737.875,648005.5572916735,0.033856403,0.14775266,0.29430875,0.20606575687592793,0.03403704475086211,
1_1_1_2_15_16,0.1329799,0.11861053,0.12421301,0.2238493,0.27516955,299.6122,0.1792349,5,0.2563246833451085,-7.7437286,0.10416666666666669,653603.4375,-0.026386256426938058,652.3125,2.2821740957339185,2.794732386623799E-4,-15676.645833333332,314013.52039930597,-0.102842316,0.21112171,0.28625992,0.3054248713963682,0.03403704475086211,
1_1_1_2_15_17,0.12685359,0.11376213,0.12000972,0.21787678,0.2532326,299.40073,0.16375007,5,0.24800750691151197,-8.98607,0.10416666666666669,627449.625,-0.1987483760530063,615.3333333333334,2.2821740957339185,7.651119810535112E-5,-16145.958333333334,259564.22743055783,-0.07504801,0.21459533,0.28964478,0.2866132905204965,0.03403704475086211,
1_1_1_2_15_18,0.122619815,0.11376213,0.11733566,0.21787678,0.2523609,299.40073,0.16738123,5,0.25079048046586105,-8.123007,0.10416666666666669,606452.0833333333,-0.1517882567864149,656.5833333333334,2.2821740957339185,4.840798572808365E-5,-16235.625,259601.1119791679,-0.07333341,0.20245688,0.29993254,0.29216186564496316,0.03403704475086211,
1_1_1_2_15_19,0.12797102,0.11085713,0.113928065,0.22183675,0.21642698,299.6122,0.13768932,5,0.2852847878184766,-8.438965,0.10416666666666669,1871670.6041666665,0.03577945673464411,1090.4791666666667,2.2821740957339185,3.856343347207434E-5,-15140.979166666664,946042.1488715354,0.012343623,0.22234972,0.32138175,0.24559327877837395,0.03403704475086211,
1_1_1_2_16_0,0.13802072,0.12545165,0.1326018,0.21806842,0.27388722,300.24255,0.19173098,5,0.21835602110074984,-7.409935,0.10416666666666669,838150.1041666666,-0.03603684181997191,769.7291666666667,2.2821740957339185,8.57917603158067E-6,-15378.5625,416230.5325520821,-0.11346307,0.17644551,0.24372365,0.2801039343840399,0.32191939529318325,
