system:index,AVE,ClassID,DIF,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,HV,HV_asm,HV_contrast,HV_corr,HV_diss,HV_ent,HV_idm,HV_savg,HV_var,NDI,NLI,RT1,RT2,random,.geo
2_2_4,777.0,8,918,-21.318945,0.10416666666666669,5323981.479166666,0.04165621223051552,1702.6041666666667,2.2821740957339185,5.412045065444532E-6,-44017.02083333333,2882395.601996556,-32.250137,0.10416666666666669,5323981.479166666,0.04165621223051552,1702.6041666666667,2.2821740957339185,5.412045065444532E-6,-44017.02083333333,2882395.601996556,0.5907336,252.92664,3.8867924,0.25728154,0.32250817464501147,
2_2_5,655.5,8,551,-20.88858,0.10416666666666669,4595990.958333333,-0.05168989553176291,1621.6666666666665,2.2821740957339185,1.3188842010330366E-5,-43591.24999999999,2235071.812500015,-29.850767,0.10416666666666669,4595990.958333333,-0.05168989553176291,1621.6666666666665,2.2821740957339185,1.3188842010330366E-5,-43591.24999999999,2235071.812500015,0.42028984,269.85507,2.45,0.40816328,0.32250817464501147,
2_2_6,669.5,8,427,-21.615524,0.10416666666666669,3297738.1875,0.10518584071357813,1501.0208333333335,2.2821740957339185,1.3041447671279196E-5,-43953.06249999999,1850797.799913153,-29.919004,0.10416666666666669,3297738.1875,0.10518584071357813,1501.0208333333335,2.2821740957339185,1.3041447671279196E-5,-43953.06249999999,1850797.799913153,0.31889468,300.70798,1.9364035,0.5164213,0.32250817464501147,
2_2_7,857.0,8,944,-21.899694,0.10416666666666669,2612761.229166667,0.04434082038069406,1329.3541666666665,2.2821740957339185,3.902788947670923E-5,-44563.68749999999,1425182.8832464516,-30.57835,0.10416666666666669,2612761.229166667,0.04434082038069406,1329.3541666666665,2.2821740957339185,3.902788947670923E-5,-44563.68749999999,1425182.8832464516,0.5507585,298.521,3.4519482,0.2896915,0.32250817464501147,
2_2_8,556.0,8,520,-21.86548,0.10416666666666669,1137411.1458333333,0.06481931597527102,881.9374999999999,2.2821740957339185,3.9441138982761325E-5,-44405.18750000001,666933.2269964218,-31.246582,0.10416666666666669,1137411.1458333333,0.06481931597527102,881.9374999999999,2.2821740957339185,3.9441138982761325E-5,-44405.18750000001,666933.2269964218,0.4676259,217.20863,2.7567568,0.3627451,0.32250817464501147,
2_2_9,1030.0,8,1086,-22.118237,0.10416666666666669,947929.1666666665,0.1552807361638763,846.9999999999999,2.2821740957339185,3.9742066708871195E-6,-44013.625,582138.1553818733,-30.760471,0.10416666666666669,947929.1666666665,0.1552807361638763,846.9999999999999,2.2821740957339185,3.9742066708871195E-6,-44013.625,582138.1553818733,0.5271845,371.86942,3.2299795,0.3095995,0.32250817464501147,
2_2_10,859.0,8,588,-21.290901,0.10416666666666669,2026729.1875,0.16396727726251176,1174.270833333333,2.2821740957339185,1.4639210869220914E-4,-44817.520833333336,1166009.5047742426,-30.40087,0.10416666666666669,2026729.1875,0.16396727726251176,1174.270833333333,2.2821740957339185,1.4639210869220914E-4,-44817.520833333336,1166009.5047742426,0.34225845,379.18802,2.040708,0.49002603,0.32250817464501147,
2_2_11,879.5,8,871,-24.182232,0.10416666666666669,2325384.3958333335,0.05493153360514961,1274.0208333333333,2.2821740957339185,1.4757888311513103E-4,-46372.97916666667,1190108.8120658845,-30.960484,0.10416666666666669,2325384.3958333335,0.05493153360514961,1274.0208333333333,2.2821740957339185,1.4757888311513103E-4,-46372.97916666667,1190108.8120658845,0.4951677,331.92725,2.9617116,0.33764258,0.32250817464501147,
2_2_12,814.0,8,846,-24.572104,0.10416666666666669,1325795.3541666667,-0.30940355649150963,994.4791666666666,2.2821740957339185,2.8481033780216357E-5,-47655.6875,502945.03428813815,-30.052341,0.10416666666666669,1325795.3541666667,-0.30940355649150963,994.4791666666666,2.2821740957339185,2.8481033780216357E-5,-47655.6875,502945.03428813815,0.519656,297.09274,3.163683,0.3160873,0.32250817464501147,
2_2_13,710.0,8,608,-24.613955,0.10416666666666669,776898.0208333334,-0.2995205691153578,693.7291666666666,2.2821740957339185,0.0011692318673710575,-48328.604166666664,304820.765190959,-30.121786,0.10416666666666669,776898.0208333334,-0.2995205691153578,693.7291666666666,2.2821740957339185,0.0011692318673710575,-48328.604166666664,304820.765190959,0.428169,289.9183,2.497537,0.40039447,0.32250817464501147,
